[0.350s] Invoking command in '/apollo/ros_ws/build/scout_mini_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /apollo/ros_ws/build/scout_mini_description -- -j20 -l20
[0.540s] Invoked command in '/apollo/ros_ws/build/scout_mini_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /apollo/ros_ws/build/scout_mini_description -- -j20 -l20
[0.575s] Invoking command in '/apollo/ros_ws/build/scout_mini_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /apollo/ros_ws/build/scout_mini_description
[0.590s] -- Install configuration: ""
[0.606s] -- Execute custom install script
[0.647s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/launch/description_launch.py
[0.712s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/launch/rviz2_launch.py
[0.814s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/meshes/body.dae
[0.914s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/meshes/wheel.dae
[1.026s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/rviz/scout_mini.rviz
[1.134s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/urdf/scout_mini.urdf.xacro
[1.232s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/ament_index/resource_index/package_run_dependencies/scout_mini_description
[1.338s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/ament_index/resource_index/parent_prefix_path/scout_mini_description
[1.473s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/environment/ament_prefix_path.sh
[1.572s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/environment/ament_prefix_path.dsv
[1.672s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/environment/path.sh
[1.764s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/environment/path.dsv
[1.858s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/local_setup.bash
[1.944s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/local_setup.sh
[2.023s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/local_setup.zsh
[2.101s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/local_setup.dsv
[2.196s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/package.dsv
[2.297s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/ament_index/resource_index/packages/scout_mini_description
[2.435s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/cmake/scout_mini_descriptionConfig.cmake
[2.536s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/cmake/scout_mini_descriptionConfig-version.cmake
[2.637s] -- Symlinking: /apollo/ros_ws/install/scout_mini_description/share/scout_mini_description/package.xml
[4.026s] Invoked command in '/apollo/ros_ws/build/scout_mini_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /apollo/ros_ws/build/scout_mini_description
